"","ID_point","ID_carre","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"381","090616P10",90616,3.3542457019675,1.07991293245353,0.301397478739645,"Forest and natural","Forest and natural","0","1","0","0",0.0891147999212411,1.38086891652562,864.610831967295,0,0,1.11318336508042,"0","0"
"382","100134P01",100134,-0.782537198020408,-0.600920890381672,0.822294444491628,"Agriculture","Agriculture","0","1","0","1",-0.0573082673233725,-0.985643365203005,962.531418886261,0,0,1.18671248101548,"0","0"
"383","100134P02",100134,-0.779335353670573,0.245156679831213,0.895868359841799,"Agriculture","Agriculture","0","1","0","1",-0.0594793794453178,-0.994726491346019,534.66480290541,0,0,0.783777864366266,"0","0"
"384","100134P03",100134,-0.776133509320737,-0.236438284776085,2.06467573211341,"Agriculture","Agriculture","0","1","0","1",-0.0594793794453178,-0.994726491346019,120.995744280823,8884.10999997519,35388.1499996437,-0.234570789054559,"3","3"
"385","100134P04",100134,-0.782537198020408,-0.0894620712418823,0.106846095404787,"Forest and natural","Forest and natural","0","1","1","1",-0.0546321750838932,-0.981095503756047,47.3965276086873,82463.032731745,228563.805000057,-0.8768836945353,"4","4"
"386","100134P05",100134,-0.776133509320737,-0.28498571621878,0.733171356556476,"Agriculture","Agriculture","0","1","0","1",-0.0573082673233725,-0.985643365203005,319.615012885471,0,75396.5167006912,0.431150470550739,"0","3"
"387","100134P06",100134,-0.779335353670573,0.151558178842207,0.385519261409289,"Forest and natural","Forest and natural","0","1","0","1",-0.0546321750838932,-0.981095503756047,404.568193575776,0,16589.4699998725,0.592689227510913,"0","2"
"388","100134P07",100134,-0.779335353670573,-0.405336687100319,2.07319490949057,"Agriculture","Agriculture","0","1","0","1",-0.0546321750838932,-0.981095503756047,726.850102178621,0,0,0.994234824659439,"0","0"
"389","100134P08",100134,-0.779335353670573,-0.722485662280462,1.34469564875047,"Agriculture","Agriculture","0","1","0","1",-0.0573082673233725,-0.985643365203005,779.9561898124,0,0,1.0425638676018,"0","0"
"390","100134P09",100134,-0.779335353670573,-1.1457506908702,1.65424711704977,"Agriculture","Agriculture","0","1","0","1",-0.0573082673233725,-0.985643365203005,509.783318532125,0,0,0.751118104653088,"0","0"
