"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"8008","640607P08","640607",18,-0.400973527780595,0.662488463182373,-0.781853999135677,"Agriculture","Agriculture","0","1","0","1",-0.905244515554238,1.50331145964299,67.1879914597321,15559.6899998827,94163.844793548,46,0.391304347826087,4.20749453304473,"3","4"
"8009","640607P09","640607",15,-0.25787776706787,0.60244326098038,-0.827154281337224,"Agriculture","Agriculture","0","1","0","1",-0.865835020355855,1.50951803092413,200.34571795506,10031.3399999866,18690.6399998672,46,0.326086956521739,5.30004446403149,"3","3"
"8010","640607P10","640607",18,-0.693386604019644,0.616945411275845,-0.508810961990697,"Agriculture","Agriculture","0","0","0","1",-0.94465401075262,1.50572531331836,217.08033900228,4408.53884766222,116259.464999707,46,0.391304347826087,5.38026751084075,"2","4"
"8011","640610P01","640610",16,-0.516072291832136,0.839197421585709,-0.90649135014545,"Agriculture","Agriculture","0","0","0","1",-0.589970057314319,1.31160265357451,15.8211188942498,23339.8749999199,58421.7199999846,38,0.421052631578947,2.76134568640297,"3","3"
"8012","640610P02","640610",17,-0.481853740357353,0.821314696583758,-0.966273731440092,"Agriculture","Agriculture","0","1","0","1",-0.589970057314319,1.36677067954521,163.473561254729,4590.11000001011,16410.435000175,38,0.447368421052632,5.09665127239762,"2","2"
"8013","640610P03","640610",16,-0.69960815883324,0.300130109701495,-0.298293657897775,"Agriculture","Agriculture","0","1","0","1",-0.668788296037495,1.34091066737144,278.045922166035,0,31586.114693307,38,0.421052631578947,5.62778628769627,"0","3"
"8014","640610P04","640610",15,-0.248545434847474,0.55000726549923,-0.896924095646631,"Agriculture","Agriculture","0","1","0","1",-0.708197791235877,1.43779942880278,44.7710176483037,2544.01000007207,6438.81000008585,38,0.394736842105263,3.80156100257983,"2","2"
"8015","640610P05","640610",8,-0.382308863339805,0.634571192122991,-0.887697518834257,"Agriculture","Agriculture","0","1","0","1",-0.629378800839074,1.39745797817113,311.765903689505,0,2527.68999999785,38,0.210526315789474,5.74225259749956,"0","1"
"8016","640610P06","640610",11,-0.60317405922249,0.987564535671743,-0.492328454644217,"Agriculture","Agriculture","0","1","0","1",-0.589970057314319,1.36677067954521,322.480523849957,0,3935.57500003965,38,0.289473684210526,5.77604274324928,"0","1"
"8017","640610P07","640610",10,-0.581398617374902,0.646383303766497,-0.767110884806613,"Forest and natural","Forest and natural","0","1","0","1",-0.629378800839074,1.39745797817113,408.572312795322,0,345.300000004005,38,0.263157894736842,6.0126689189406,"0","1"
"8018","640610P08","640610",15,-0.628060278476878,1.00121332784732,-0.885786204434926,"Forest and natural","Agriculture","0","1","0","1",-0.589970057314319,1.3343593801077,229.796301941901,349.090000010561,14316.4850001795,38,0.394736842105263,5.43719327277821,"1","2"
"8019","640610P09","640610",18,-0.522293846645732,0.33837459699378,-0.693322993046212,"Agriculture","Agriculture","0","0","0","1",-0.589970057314319,1.35504738984672,75.5906229829165,15781.7399998645,52341.4599999444,38,0.473684210526316,4.32533224087505,"3","3"
"8020","640610P10","640610",18,-0.435192079255378,0.730395132665857,-0.951911200245385,"Agriculture","Agriculture","0","0","0","1",-0.589970057314319,1.40331941257108,89.9253000168984,5060.9150001118,18773.0350001858,38,0.473684210526316,4.49897932587747,"2","3"
"8021","640644P01","640644",14,-0.189440664118305,-0.427763272238993,0.427206867505911,"Agriculture","Agriculture","0","1","0","1",-0.117057618280795,0.947149050364974,394.742574168667,0,17564.5050000782,38,0.368421052631579,5.97823384147982,"0","2"
"8022","640644P02","640644",18,-0.226769992999886,-0.242942110884679,0.356474819018736,"Agriculture","Agriculture","1","1","0","1",-0.117057618280795,0.877843881020402,85.239207852031,2713.49000000441,57997.414999897,38,0.473684210526316,4.44546151403884,"2","3"
"8023","640644P03","640644",17,-0.279653208915458,0.124462760858303,-0.265375717069897,"Agriculture","Agriculture","0","0","0","1",-0.117057618280795,0.827503141501852,55.4800529295398,2212.84000002197,43529.6899998921,38,0.447368421052632,4.01602354947537,"2","3"
"8024","640644P04","640644",22,-0.186329886711507,-0.0266873884542426,-0.379025084712124,"Agriculture","Agriculture","0","1","0","1",-0.117057618280795,0.915771898875261,26.2849069644818,19676.5099999912,40130.9549999071,38,0.578947368421053,3.26899489477425,"3","3"
"8025","640644P05","640644",19,-0.0805634548803616,0.120152351111244,-0.232650660332572,"Agriculture","Agriculture","0","0","0","1",-0.117057618280795,0.985421784202432,333.349540096505,0,30987.2119099095,38,0.5,5.80919160942161,"0","3"
"8026","640644P06","640644",17,-0.0556772356259745,0.124902800869071,-0.298609916763328,"Agriculture","Agriculture","0","0","0","1",-0.117057618280795,0.915771898875261,162.013610853452,7545.87886945585,79096.5550000105,38,0.447368421052632,5.087680349317,"3","4"
"8027","640644P07","640644",20,-0.145889780423128,0.437582924470948,-0.713149573589936,"Agriculture","Agriculture","0","0","0","1",-0.117057618280795,0.927839904556353,126.264845581786,13484.789223602,69583.7799999591,38,0.526315789473684,4.83838165000907,"3","4"
"8028","640644P08","640644",21,-0.239213102627079,0.667242710645247,-0.769177182007209,"Agriculture","Agriculture","0","0","0","1",-0.0776481230824122,0.864741727391515,94.9460531980525,9049.88099055321,11181.6399999321,38,0.552631578947368,4.55330886923325,"3","2"
"8029","640644P09","640644",24,-0.142779003016329,-0.622656666245717,1.44912204893474,"Agriculture","Agriculture","0","0","0","1",-0.0776481230824122,0.864741727391515,187.700083277731,5249.35500004306,15575.1350000328,38,0.631578947368421,5.23484538726701,"2","2"
"8030","640644P10","640644",19,-0.152111335236724,-0.210796098890136,0.824477138928649,"Agriculture","Agriculture","0","0","0","1",-0.038238627883992,0.791299124458577,74.372393456408,14607.3049999783,40500.6100000961,38,0.5,4.30908481728741,"3","3"
"8031","640708P01","640708",17,-0.385419640746603,-1.49056287196286,2.59508953453275,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.643379770644906,391.739716437971,0,17004.5300000934,31,0.548387096774194,5.97059763057371,"0","2"
"8032","640708P02","640708",14,-0.388530418153402,-0.772725166713984,0.934831120520526,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.637173620262357,133.305613308457,6250.36500012036,6250.36500012036,31,0.451612903225806,4.89264433663906,"2","2"
"8033","640708P03","640708",11,-0.379198085933007,-1.17094989620718,0.173567239765587,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.645793624320279,348.973924899069,0,6849.10500011174,31,0.354838709677419,5.85499720565497,"0","2"
"8034","640708P04","640708",11,-0.400973527780595,-0.911469593313065,1.84226416350605,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.643379770644906,564.987352930562,0,0,31,0.354838709677419,6.33680334670222,"0","0"
"8035","640708P05","640708",15,-0.404084305187394,-0.843108477228365,2.12949942520958,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.652689627566618,1028.83473905691,0,0,31,0.483870967741935,6.9361821194927,"0","0"
"8036","640708P06","640708",10,-0.404084305187394,-0.473044805317342,0.0306887133341585,"Agriculture","Agriculture","0","0","0","1",-0.156467113479177,0.638552905091343,1120.677179961,0,0,31,0.32258064516129,7.02168840654229,"0","0"
"8037","640708P07","640708",5,-0.407195082594192,-0.941046091145716,1.66968404729905,"Agriculture","Agriculture","0","0","0","1",-0.156467113479177,0.657516914018773,970.849806140908,0,0,31,0.161290322580645,6.87817177676069,"0","0"
"8038","640708P08","640708",12,-0.407195082594192,-0.592409688307547,0.938644208997127,"Agriculture","Agriculture","0","0","0","1",-0.156467113479177,0.657516914018773,994.408592742769,0,0,31,0.387096774193548,6.90214818129228,"0","0"
